"Column Name","Data Type","Nullable","Default","Primary Key"
"TEMP_ID","NUMBER","No","","1"
"PRODUCT_ID","NUMBER","Yes","",""
"PRODUCT_IMG","VARCHAR2(100)","Yes","",""
"PRODUCT_NAME","VARCHAR2(100)","Yes","",""
"UNIT_PRICE","FLOAT","Yes","",""
"PRODUCT_QUANTITY","NUMBER","Yes","",""
"SUB_TOTAL","FLOAT","Yes","",""
"USER_ID","NUMBER","No","",""
